# -------------------------------------------------------
# App: truesculpt.main, date: 20111116-20120505
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120505,SGH-I927R,0,0,0,1,0,0,0,0
20120505,SGH-I927,0,1,0,4,1,0,0,0
20120505,SGH-I9000,0,1,0,1,1,0,0,0
20120505,Samsung Galaxy S,0,33,0,77,32,0,0,0
20120505,SGH-I896,0,5,0,9,5,0,0,0
20120505,SGH-I857,0,0,0,3,0,0,0,0
20120505,SGH-I777,0,21,0,37,21,0,0,0
20120505,SGH-I727R,0,2,0,5,2,0,0,0
20120505,SGH-I727,0,8,0,23,8,0,0,0
20120505,Samsung Galaxy Note,0,3,0,3,3,0,0,0
20120505,Samsung Galaxy Note,0,0,0,1,0,0,0,0
20120505,Samsung Galaxy Note,0,2,0,3,2,0,0,0
20120505,Samsung Galaxy Note,0,11,0,22,11,0,0,0
20120505,SCP-8600,0,0,0,1,0,0,0,0
20120505,SCH-R920,0,3,0,8,3,0,0,0
20120505,SCH-R915,0,2,0,4,2,0,0,0
20120505,Samsung Galaxy S,0,1,0,7,1,0,0,0
20120505,Samsung Acclaim,0,2,0,3,2,0,0,0
20120505,SCH-R730,0,1,0,4,1,0,0,0
20120505,Samsung Admire,1,10,1,70,9,1,1,0
20120505,SCH-R680,0,0,0,4,0,0,0,0
20120505,Samsung Galaxy Precedent,0,3,0,32,3,0,0,0
20120505,Samsung Galaxy Tab 10.1,0,1,0,3,1,0,0,0
20120505,Samsung Galaxy Tab,0,17,0,43,17,0,0,0
20120505,Samsung Droid Charge,0,16,0,32,14,0,0,0
20120505,Samsung Galaxy S,0,32,0,101,32,0,0,0
20120505,Samsung Stratosphere,1,15,1,38,14,0,0,0
20120505,Samsung Galaxy S,0,8,0,18,8,0,0,0
20120505,SCH-I110,0,0,0,5,0,0,0,0
20120505,Samsung Gem,0,0,0,8,0,0,0,0
20120505,SC-05D,0,2,0,2,2,0,0,0
20120505,SC-03D,0,2,0,3,2,0,0,0
20120505,Samsung Galaxy S2,0,3,0,9,2,0,0,0
20120505,Samsung Galaxy S,0,7,0,12,7,0,0,0
20120505,Samsung Galaxy Tab,0,1,0,1,1,0,0,0
